User Input,Chatbot Response,Timestamp
hello,"I'm fine, thank you",2024-12-09 12:22:39
i am feeling happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 13:47:04
i am feeling sad,"Sadness is a normal part of life. It's important to acknowledge how you're feeling, and give yourself time to heal.",2024-12-09 13:47:14
wt to do now,Step away from your current task for five minutes and come back with a fresh perspective.,2024-12-09 13:47:28
i am feeling sooo happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 13:47:43
wt to do now,Remember that itâ€™s okay to ask for help or take breaks when needed.,2024-12-09 13:47:55
wt to do now,Drink a glass of water and remind yourself to take it one step at a time.,2024-12-09 13:48:16
i am sad,"Sadness is a normal part of life. It's important to acknowledge how you're feeling, and give yourself time to heal.",2024-12-09 13:50:52
but i  have not  noone to talk,"Call or message a friend or family member, even if itâ€™s just to say hello.",2024-12-09 13:51:12
i have no frnds,"If you're feeling lethargic, a little movement, fresh air, and hydration can help you regain some energy.",2024-12-09 13:52:38
lethargic?,"If you're feeling lethargic, a little movement, fresh air, and hydration can help you regain some energy.",2024-12-09 13:52:53
lethargic?,Lethargy can sometimes be a sign your body needs rest. Try to get some rest and hydrate yourself to feel more energized.,2024-12-09 13:53:02
age,"Write a letter to yourself or someone you trust, even if you donâ€™t send it. It can help to express your feelings.",2024-12-09 13:53:22
age,Listen to a calming playlist or nature sounds for a quick mental reset.,2024-12-09 14:05:09
what is ur age,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-09 14:05:20
what is ur name,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-09 14:05:46
what is ur name,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2024-12-09 14:05:56
wt is your name,My name is Chatbot.,2024-12-09 14:07:37
wt is your age,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:07:42
wt is you age,I can answer questions and provide assistance,2024-12-09 14:07:49
wt is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:08:00
tell me a joke,Did you hear about the mathematician who's afraid of negative numbers? He'll stop at nothing to avoid them!,2024-12-09 14:08:12
i am sad,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 14:22:28
i am sad,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:23:04
"i am sad, wt should i do","Try drawing or doodling, even if you're not an artist. Creative expression can help you process emotions.",2024-12-09 14:23:35
i am so ahppy,Engage in a hobby or activity you enjoy to help focus your mind elsewhere.,2024-12-09 14:23:44
i am so happy,Enjoy the good vibes! Keep smiling and embracing the happiness you're feeling.,2024-12-09 14:23:52
wt should i do now,"Write down everything on your mind, then pick one priority to start with.",2024-12-09 14:24:05
make me laugh,"Call or message a friend or family member, even if it's just to say hello.",2024-12-09 14:28:31
make me laugh,Why do not skeletons fight each other? They do not have the guts!,2024-12-09 14:31:36
what is your name,Light a candle or turn on soft lighting to create a comforting space around you.,2024-12-09 14:32:04
what is your name,I'm a chatbot,2024-12-09 14:34:07
what is your name,My purpose is to assist you,2024-12-09 14:36:48
dsd,"Try drawing or doodling, even if you're not an artist. Creative expression can help you process emotions.",2024-12-09 14:39:15
i am feeling bored,"Boredom is common, but it can be an opportunity to try something new. Read, take up a hobby, or explore something you enjoy.",2024-12-09 14:40:04
what is your hobby,I'm a chatbot,2024-12-09 14:40:24
what is your favourite colors,I'm a chatbot,2024-12-09 14:41:20
what is your favorite colors,I'm a chatbot,2024-12-09 14:41:28
what is your favorite color,Hug a pillow or a soft blanket. Physical comfort can help ease emotional pain.,2024-12-09 14:41:32
what is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:42:31
what is your age,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:43:11
What is your age,"Write down three small things you're grateful for, no matter how small they seem.",2024-12-09 14:43:27
"i am feeling nervous, what should i do",I'm a chatbot,2024-12-09 14:43:55
i feel nervous,"When you're feeling tense, it's helpful to pause and give yourself time to relax. A moment of calm can make a big difference.",2024-12-09 14:44:41
i feel anxiety,Sip a warm cup of herbal tea to help relax your body and mind.,2024-12-09 14:45:07
i feel bored,"When you're bored, try to shift your focus. Sometimes, exploring a new activity or even relaxing can make a big difference.",2024-12-09 14:45:18
i feel irritated,"Sometimes, a little time away from what's bothering you can really help. Take a breather.",2024-12-09 14:45:30
i feel sleepy,Put on a favorite movie or show that feels comforting or nostalgic.,2024-12-09 14:45:38
how can i reduce my stress,Step outside and take a short walk to clear your mind and get some fresh air.,2024-12-09 14:46:06
i am stresses,"Drink some water and remind yourself that emotions, like sadness, come and go.",2024-12-09 14:46:26
what is your name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:09:31
what is your name,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:10:27
what is your name,Frustration is often a sign you're pushing hard for something important. Take a moment to reset and try again.,2024-12-09 15:11:20
what is your name,It's normal to feel frustrated. Take a step back and think about what you can control in the situation.,2024-12-09 15:11:57
name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:12:45
i am feeling stressed,"Try to focus on one small thing that brings you comfort. Whether it's a song, a pet, or a memory, it can help.",2024-12-09 15:13:13
i am feeling tired,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:14:21
what is your name,"You're not alone in feeling this way. Break down the problem into smaller steps, and you'll find your way.",2024-12-09 15:14:54
what is your name,"Frustration can be tough. Sometimes, it helps to take a short break and return with a fresh perspective.",2024-12-09 15:16:10
what is your name,It's normal to feel frustrated. Take a step back and think about what you can control in the situation.,2024-12-09 15:18:38
